timestamp,open,high,low,close,price,volume
2024-12-31 17:00:00,94868.41,95047.71,93189.59,94120.94,94120.94,1332.40373
2024-12-31 18:00:00,94120.92,94416.72,93779.8,93875.68,93875.68,816.81017
2024-12-31 19:00:00,93875.69,94290.91,93712.45,94166.88,94166.88,462.79342
2024-12-31 20:00:00,94166.88,94222.5,93450.17,93564.04,93564.04,733.04147
2024-12-31 21:00:00,93564.01,93964.15,93504.67,93899.68,93899.68,337.52715
2024-12-31 22:00:00,93899.67,93899.67,93375.58,93488.84,93488.84,315.53272
2024-12-31 23:00:00,93488.83,93756.0,93375.38,93576.0,93576.0,336.57995
2025-01-01 00:00:00,93576.0,94509.42,93489.03,94401.14,94401.14,755.9901
2025-01-01 01:00:00,94401.13,94408.72,93578.77,93607.74,93607.74,586.53456
2025-01-01 02:00:00,93607.74,94105.12,93594.56,94098.91,94098.91,276.78045
2025-01-01 03:00:00,94098.9,94098.91,93728.22,93838.04,93838.04,220.99302
2025-01-01 04:00:00,93838.04,93838.04,93500.0,93553.91,93553.91,279.46909
2025-01-01 05:00:00,93553.91,93937.19,93547.4,93792.02,93792.02,209.1794
2025-01-01 06:00:00,93792.02,93792.02,93568.38,93757.58,93757.58,272.27846
2025-01-01 07:00:00,93757.57,93800.0,93664.08,93684.1,93684.1,197.93458
2025-01-01 08:00:00,93684.11,93756.02,93304.0,93428.46,93428.46,481.71173
2025-01-01 09:00:00,93428.47,93486.29,92888.0,93413.06,93413.06,798.49773
2025-01-01 10:00:00,93413.07,93536.75,93284.0,93326.23,93326.23,265.55192
2025-01-01 11:00:00,93326.24,93705.08,93200.0,93444.64,93444.64,321.72225
2025-01-01 12:00:00,93444.65,93972.0,93407.07,93820.76,93820.76,499.35613
2025-01-01 13:00:00,93820.75,94058.79,93600.28,94031.76,94031.76,340.36387
2025-01-01 14:00:00,94031.77,94450.85,93671.48,94175.89,94175.89,751.90697
2025-01-01 15:00:00,94175.89,94500.0,93900.0,94432.94,94432.94,486.08395
2025-01-01 16:00:00,94432.94,94492.0,93922.0,94090.49,94090.49,580.27384
2025-01-01 17:00:00,94090.5,94189.16,93760.93,94143.85,94143.85,303.86795
2025-01-01 18:00:00,94143.84,94380.44,93936.44,94340.06,94340.06,291.78831
2025-01-01 19:00:00,94340.06,94823.75,94148.34,94627.07,94627.07,545.12372
2025-01-01 20:00:00,94627.08,94852.7,94579.83,94786.23,94786.23,424.42468
2025-01-01 21:00:00,94786.23,95151.15,94687.87,94978.48,94978.48,636.81156
2025-01-01 22:00:00,94978.48,94997.32,94685.81,94802.98,94802.98,409.77402
2025-01-01 23:00:00,94802.99,94952.29,94542.0,94591.79,94591.79,436.90784
2025-01-02 00:00:00,94591.78,95381.7,94392.0,95128.59,95128.59,1181.76573
2025-01-02 01:00:00,95128.59,95516.0,94699.69,94862.72,94862.72,1143.36617
2025-01-02 02:00:00,94862.73,95234.37,94803.03,95234.36,95234.36,455.65
2025-01-02 03:00:00,95234.37,95299.24,94913.75,95010.33,95010.33,290.28586
2025-01-02 04:00:00,95010.34,96000.0,94984.84,95708.07,95708.07,925.61919
2025-01-02 05:00:00,95708.07,95800.0,95395.21,95596.48,95596.48,702.11721
2025-01-02 06:00:00,95596.48,95697.01,95380.04,95574.99,95574.99,517.46772
2025-01-02 07:00:00,95575.0,95880.0,95505.35,95822.0,95822.0,452.62773
2025-01-02 08:00:00,95822.01,96211.54,95640.05,96150.0,96150.0,844.76163
2025-01-02 09:00:00,96150.0,96799.86,96036.86,96755.51,96755.51,976.02528
2025-01-02 10:00:00,96755.51,96808.37,96538.77,96708.0,96708.0,826.74686
2025-01-02 11:00:00,96708.0,96876.38,96469.46,96732.99,96732.99,533.66374
2025-01-02 12:00:00,96733.0,96895.0,96609.42,96850.01,96850.01,677.3051
2025-01-02 13:00:00,96850.01,96988.05,96436.0,96458.17,96458.17,903.27447
2025-01-02 14:00:00,96458.17,97440.91,95924.6,97256.49,97256.49,3007.10456
2025-01-02 15:00:00,97256.48,97323.16,96164.78,96455.01,96455.01,2007.047
2025-01-02 16:00:00,96455.01,97650.0,96040.04,97229.74,97229.74,1725.0299
2025-01-02 17:00:00,97229.75,97591.84,96325.44,96757.57,96757.57,1272.75775
2025-01-02 18:00:00,96757.57,97350.0,96400.0,97319.74,97319.74,839.9046
2025-01-02 19:00:00,97319.74,97777.0,97200.0,97317.74,97317.74,714.40965
2025-01-02 20:00:00,97317.74,97839.5,97300.0,97306.46,97306.46,718.8468
2025-01-02 21:00:00,97306.46,97355.77,97040.16,97212.68,97212.68,394.14727
2025-01-02 22:00:00,97212.69,97212.69,96666.66,96911.04,96911.04,418.78092
2025-01-02 23:00:00,96911.04,97077.78,96758.17,96984.79,96984.79,441.78434
2025-01-03 00:00:00,96984.79,97080.96,96796.56,96825.82,96825.82,315.00973
2025-01-03 01:00:00,96825.83,97000.0,96650.0,96985.47,96985.47,342.35914
2025-01-03 02:00:00,96985.47,97342.44,96856.98,96966.85,96966.85,388.64008
2025-01-03 03:00:00,96966.85,97090.91,96833.99,97062.3,97062.3,255.7492
2025-01-03 04:00:00,97062.3,97066.18,96766.51,96813.41,96813.41,265.52213
2025-01-03 05:00:00,96813.49,96860.48,96590.28,96765.34,96765.34,316.46331
2025-01-03 06:00:00,96765.35,96918.56,96512.0,96539.49,96539.49,382.40263
2025-01-03 07:00:00,96539.49,96645.83,96280.65,96304.0,96304.0,546.86929
2025-01-03 08:00:00,96304.0,96529.84,96100.01,96129.97,96129.97,543.39121
2025-01-03 09:00:00,96129.97,96702.48,96107.84,96554.32,96554.32,527.99485
2025-01-03 10:00:00,96554.32,96640.01,96402.82,96488.53,96488.53,355.37669
2025-01-03 11:00:00,96488.53,96830.0,96482.51,96757.58,96757.58,448.41508
2025-01-03 12:00:00,96757.57,96921.36,96666.66,96666.66,96666.66,387.5824
2025-01-03 13:00:00,96666.66,96839.71,96472.43,96504.79,96504.79,630.80373
2025-01-03 14:00:00,96504.8,97342.44,96504.79,97016.01,97016.01,1390.59074
2025-01-03 15:00:00,97016.0,97660.0,96759.12,97521.35,97521.35,1587.60159
2025-01-03 16:00:00,97521.36,98444.42,97406.54,97868.2,97868.2,1899.91498
2025-01-03 17:00:00,97868.21,98299.76,97837.63,98026.0,98026.0,799.71144
2025-01-03 18:00:00,98025.99,98697.86,98000.0,98527.98,98527.98,813.64324
2025-01-03 19:00:00,98527.97,98976.91,98491.53,98592.01,98592.01,1070.42711
2025-01-03 20:00:00,98592.02,98748.0,98300.0,98311.52,98311.52,846.16971
2025-01-03 21:00:00,98311.51,98419.14,98196.96,98272.7,98272.7,507.38037
2025-01-03 22:00:00,98272.7,98512.94,98250.0,98296.37,98296.37,317.54844
2025-01-03 23:00:00,98296.37,98382.19,98067.99,98174.18,98174.18,314.26227
